CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance
11000,26,Jon,Yang,1962-12-23,M,M,90000.00,0,Bachelors,Professional,1,0,1-2 Miles
11001,37,Eugene,Huang,1976-06-23,S,M,60000.00,3,Bachelors,Professional,0,1,0-1 Miles
11002,31,Ruben,Torres,1966-08-19,M,M,60000.00,3,Bachelors,Professional,1,1,2-5 Miles
11003,11,Christy,Zhu,1987-12-09,S,F,70000.00,0,Bachelors,Professional,0,1,5-10 Miles
11004,19,Elizabeth,Johnson,1990-06-06,S,F,80000.00,5,Bachelors,Professional,1,4,1-2 Miles
11005,22,Julio,Ruiz,1960-12-13,S,M,70000.00,0,Bachelors,Professional,1,1,5-10 Miles
11006,8,Janet,Alvarez,1981-02-19,S,F,70000.00,0,Bachelors,Professional,1,1,5-10 Miles
11007,40,Marco,Mehta,1982-01-08,M,M,60000.00,3,Bachelors,Professional,1,2,0-1 Miles
11008,32,Rob,Verhoff,1997-08-13,S,F,60000.00,4,Bachelors,Professional,1,3,10+ Miles
11009,25,Shannon,Carlson,1995-03-24,S,M,70000.00,0,Bachelors,Professional,0,1,5-10 Miles
11010,22,Jacquelyn,Suarez,1985-04-27,S,F,70000.00,0,Bachelors,Professional,0,1,5-10 Miles
11011,22,Curtis,Lu,1969-07-06,M,M,60000.00,4,Bachelors,Professional,1,4,10+ Miles
11012,611,Lauren,Walker,1995-02-25,M,F,100000.00,0,Bachelors,Management,1,2,1-2 Miles
11013,543,Ian,Jenkins,1990-06-06,M,M,100000.00,0,Bachelors,Management,1,3,0-1 Miles
11014,634,Sydney,Bennett,1962-06-21,S,F,100000.00,0,Bachelors,Management,0,3,1-2 Miles
11015,301,Chloe,Young,1985-03-26,S,F,30000.00,0,Partial College,Skilled Manual,0,1,5-10 Miles
11016,329,Wyatt,Hill,1994-03-02,M,M,30000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11017,39,Shannon,Wang,1980-09-12,S,F,20000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11018,32,Clarence,Rai,1985-06-26,S,M,30000.00,0,Partial College,Clerical,1,2,5-10 Miles
11019,52,Luke,Lal,1962-10-03,S,M,40000.00,0,High School,Skilled Manual,0,2,5-10 Miles
11020,53,Jordan,King,1992-09-13,S,M,40000.00,0,High School,Skilled Manual,0,2,1-2 Miles
11021,536,Destiny,Wilson,1977-01-05,S,F,40000.00,0,Partial College,Skilled Manual,0,1,1-2 Miles
11022,609,Ethan,Zhang,1976-06-28,M,M,40000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11023,298,Seth,Edwards,1970-06-19,M,M,40000.00,0,Partial College,Skilled Manual,1,1,1-2 Miles
11024,311,Russell,Xie,1999-08-30,M,M,60000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11025,24,Alejandro,Beck,1965-11-12,M,M,10000.00,1,Partial High School,Clerical,1,2,1-2 Miles
11026,4,Harold,Sai,1998-02-06,S,M,30000.00,0,Partial College,Clerical,0,2,1-2 Miles
11027,40,Jessie,Zhao,1964-07-30,M,M,30000.00,0,Partial College,Clerical,1,2,5-10 Miles
11028,17,Jill,Jimenez,1986-10-13,M,F,30000.00,0,Partial College,Clerical,1,2,1-2 Miles
11029,32,Jimmy,Moreno,1982-09-11,M,M,30000.00,0,Partial College,Clerical,1,2,1-2 Miles
11030,28,Bethany,Yuan,1984-02-03,M,F,10000.00,1,Partial High School,Clerical,1,2,1-2 Miles
11031,8,Theresa,Ramos,1983-03-31,M,F,20000.00,0,High School,Skilled Manual,1,2,1-2 Miles
11032,35,Denise,Stone,1997-07-09,M,F,20000.00,0,High School,Skilled Manual,1,2,1-2 Miles
11033,9,Jaime,Nath,1990-04-29,M,M,20000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11034,12,Ebony,Gonzalez,1984-03-24,M,F,20000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11035,33,Wendy,Dominguez,1977-08-02,M,F,10000.00,1,Partial High School,Clerical,1,2,1-2 Miles
11036,343,Jennifer,Russell,1982-05-05,M,F,60000.00,0,Partial College,Skilled Manual,1,2,1-2 Miles
11037,49,Chloe,Garcia,1994-12-22,S,F,40000.00,0,Partial High School,Clerical,0,2,5-10 Miles
11038,6,Diana,Hernandez,1964-11-30,M,F,10000.00,1,Partial High School,Clerical,1,2,5-10 Miles
11039,19,Marc,Martin,1977-10-16,M,M,30000.00,0,Partial College,Clerical,1,2,5-10 Miles
11040,642,Jesse,Murphy,1984-05-11,M,M,30000.00,0,Partial College,Skilled Manual,1,2,1-2 Miles
